Model,MAE,MSE,RMSE,R2
Extra Trees,6.405730925925927,162.57732091027776,12.750581198921003,0.9982435728701009
Bagging,7.931399005291006,232.25621561797954,15.239954580574691,0.9974907870549531
Random Forest,7.937425405643739,232.66128467642628,15.253238497985478,0.9974864108339663
XGBoost,8.668144226074219,245.35671997070312,15.663866699212655,0.9973492622375488
Decision Tree,8.943703703703704,556.1268518518518,23.5823419501086,0.9939918047315034
LightGBM,8.973899665772391,239.62796977214546,15.479921504069246,0.997411145264088
CatBoost,14.020743615450744,410.2490811626037,20.25460641835836,0.9955678159036225
Gradient Boosting,15.482933552443853,505.43451469276715,22.481870800553214,0.994539466581051
Hist Gradient Boosting,16.40464594216491,563.9259312782837,23.747124694966413,0.9939075462714911
K-Nearest Neighbors,22.810074074074073,1374.014251851852,37.06769822705278,0.9851556422795741
Ridge Regression,34.07604215985587,2103.815289277567,45.86736627797117,0.9772711333309337
Ridge CV,34.12471277722952,2081.6874196795266,45.6255128155238,0.9775101949065044
ARD Regression,34.13823071215598,2080.600882710737,45.613604140768544,0.9775219334626507
Lars CV,34.14239199455799,2080.8561138368846,45.61640180721058,0.9775191760370033
Linear Regression,34.14239199455925,2080.8561138369887,45.61640180721172,0.9775191760370022
RANSAC Regressor,34.17386336774601,2075.549564896692,45.558199754782805,0.9775765060906203
Isotonic Regression,35.439308840555036,2248.574200950255,47.41913327919707,0.9757072099107852
Bayesian Ridge,35.803765617050544,2331.903393419309,48.28978560129781,0.9748069511690016
Orthogonal Matching Pursuit CV,35.804112722440664,2331.646043523791,48.28712088666906,0.9748097314850742
Lasso Lars,35.80555942322998,2331.591595472596,48.28655708862039,0.9748103197223127
Elasitc Net,35.818380079206094,2339.068964135342,48.363922133500935,0.9747295369101346
Lasso Regression,35.81895560657902,2339.026152865984,48.36347953638141,0.9747299994277512
Tweedie Regressor,36.02326628329437,2365.5758396781434,48.63718577054128,0.9744431661231666
Elastic Net CV,36.62615089068753,2424.090337734763,49.235051921723034,0.9738109964496622
Lasso CV,36.65485990587796,2427.6526957077585,49.27121569139287,0.973772510010378
Orthogonal Matching Pursuit,36.79594770265227,2430.978535201953,49.304954469119565,0.9737365788320035
Theil-Sen Regressor,36.79878465608525,2356.5787127625586,48.54460539300488,0.9745403678590372
Multi-layer Perceptron,37.57677023437762,2566.8497255774555,50.664087138499355,0.9722686751686203
Huber Regressor,37.897882360283894,2644.0026793588936,51.41986658246882,0.9714351422969083
AdaBoost,38.911377071316714,2316.7704730655805,48.132841938385276,0.9749704418189586
Passive Aggressive Regressor,39.17197025618235,2803.67524387437,52.94974262330621,0.9697100971144359
Support Vector Regressor,39.981383472772855,3008.7424494194242,54.85200497173667,0.9674946244934378
Gamma Regressor,73.9342039521722,263931.98724991805,513.7431140656953,-1.851426633544932
Poisson Regressor,263.03281075408216,92577.43896914468,304.265408762062,-0.00017348367872616066
Gaussian Process,567.5223174518583,419274.5008129489,647.5140931384806,-3.5296914968182582
