Model,MAE,MSE,RMSE,R2
Extra Trees,1.2423748148148135,5.697014365370364,2.3868419229958158,0.9999384514978181
LightGBM,1.8002631071805553,7.233547291683919,2.689525477046819,0.9999218513465631
Random Forest,1.8435666666666664,10.959821382222216,3.310562094603002,0.9998815940162699
Bagging,1.8469540740740733,10.915490650370367,3.303859962282053,0.9998820729496148
XGBoost,1.9236422829274777,8.476885999908578,2.911509230606796,0.9999084187606
Decision Tree,2.198148148148148,25.32925925925926,5.032818222354078,0.9997263517574646
Hist Gradient Boosting,2.753047988810298,16.180462131955217,4.02249451608765,0.999825192083965
Gradient Boosting,3.379013692744267,24.256149972407698,4.92505329640276,0.9997379452457459
CatBoost,3.4758275551899134,22.17846235326647,4.709401485673787,0.9997603918384274
Theil-Sen Regressor,4.009381287709694,50.04568363331685,7.074297395029195,0.9994593243634737
Lasso Regression,4.319061871715479,48.320452499849814,6.95129142676739,0.9994779631425555
Bayesian Ridge,4.320826861030774,48.26741965975024,6.947475776118276,0.9994785360903604
Elasitc Net,4.322981632597264,48.283925628584356,6.948663585797226,0.9994783577657865
Lasso Lars,4.326373625502825,48.29369264021613,6.949366348108015,0.999478252246492
Ridge CV,4.327277802580635,48.27609024306909,6.948099757708513,0.9994784424164845
Ridge Regression,4.327476376593155,48.275327175022156,6.948044845495901,0.9994784506603983
RANSAC Regressor,4.330720092470284,48.28054230277898,6.948420129984872,0.9994783943180264
Linear Regression,4.330720092470284,48.28054230277898,6.948420129984872,0.9994783943180264
ARD Regression,4.336989834742433,48.8244720840522,6.987451043410051,0.9994725178955387
Lars CV,4.353457514147155,48.40525725657743,6.957388680861335,0.9994770469423462
Orthogonal Matching Pursuit CV,4.35371666052977,48.39900720226296,6.956939499683964,0.9994771144656939
Lasso CV,6.904345416355194,84.00605034409782,9.165481457299329,0.9990924287282267
K-Nearest Neighbors,7.099333333333332,138.5099111111111,11.769023371168531,0.9985035885431417
Tweedie Regressor,9.481970912637866,147.8437719363028,12.159102431359923,0.9984027488547504
Elastic Net CV,10.757629326463222,191.43733203826798,13.836088032325755,0.9979317796493086
AdaBoost,11.205937173384271,206.83845039390752,14.38187923721749,0.997765391484224
Huber Regressor,17.17755296088205,479.4828145429642,21.897096029906894,0.994819839451971
Passive Aggressive Regressor,19.094600882801327,605.6235860814605,24.609420677485694,0.9934570597476672
Multi-layer Perceptron,19.590439311107744,626.2356912467648,25.02470162153317,0.9932343739479876
Orthogonal Matching Pursuit,36.795947702652285,2430.978535201954,49.30495446911957,0.9737365788320035
Support Vector Regressor,38.78287816829073,2829.7532900772067,53.195425461943685,0.9694283592460237
Gamma Regressor,67.849188931641,61870.15445281185,248.73711916964032,0.33157701699402087
Isotonic Regression,263.03281075408216,92577.43896914468,304.265408762062,-0.00017348367872616066
Poisson Regressor,263.03281075408216,92577.43896914468,304.265408762062,-0.00017348367872616066
Gaussian Process,573.8512613956523,422118.34701472503,649.7063544515514,-3.5604153923412802
