Model,MAE,MSE,RMSE,R2
Extra Trees,6.494077777777777,165.2770847037037,12.856013561897939,0.9982144055892984
Random Forest,8.088953950617285,241.82029743290084,15.550572254193762,0.9973874601414682
Bagging,8.654926543209877,280.25209765534976,16.740731694144966,0.996972256740504
Decision Tree,9.36888888888889,619.5016666666667,24.88979041025992,0.9933071259370084
XGBoost,11.417299270629883,323.7782897949219,17.993840329260507,0.9965020418167114
CatBoost,14.020743615450744,410.2490811626037,20.25460641835836,0.9955678159036225
LightGBM,16.361693970924275,550.3144879590601,23.45878274674669,0.9940545994286542
Hist Gradient Boosting,16.734606636002567,558.7918228636139,23.638777947762314,0.9939630133394491
K-Nearest Neighbors,22.810074074074073,1374.014251851852,37.06769822705278,0.9851556422795741
Gradient Boosting,26.687978191881914,1326.691757401414,36.423780108624285,0.9856668975557827
Ridge Regression,34.07604215985587,2103.815289277567,45.86736627797117,0.9772711333309337
Ridge CV,34.12471277722952,2081.6874196795266,45.6255128155238,0.9775101949065044
ARD Regression,34.13823071215598,2080.600882710737,45.613604140768544,0.9775219334626507
Lars CV,34.14239199455799,2080.8561138368846,45.61640180721058,0.9775191760370033
Linear Regression,34.14239199455925,2080.8561138369887,45.61640180721172,0.9775191760370022
RANSAC Regressor,34.95493540219397,2122.9768581467574,46.075773006502644,0.9770641186057258
Isotonic Regression,35.439308840555036,2248.574200950255,47.41913327919707,0.9757072099107852
Bayesian Ridge,35.803765617050544,2331.903393419309,48.28978560129781,0.9748069511690016
Orthogonal Matching Pursuit CV,35.804112722440664,2331.646043523791,48.28712088666906,0.9748097314850742
Lasso Lars,35.80555942322998,2331.591595472596,48.28655708862039,0.9748103197223127
Elasitc Net,35.818380079206094,2339.068964135342,48.363922133500935,0.9747295369101346
Lasso Regression,35.81895560657902,2339.026152865984,48.36347953638141,0.9747299994277512
Tweedie Regressor,36.02326628329437,2365.5758396781434,48.63718577054128,0.9744431661231666
Theil-Sen Regressor,36.55845320772983,2330.061424329003,48.270709797236286,0.9748268511431465
Elastic Net CV,36.62615089068753,2424.090337734763,49.235051921723034,0.9738109964496622
Lasso CV,36.65485990587796,2427.6526957077585,49.27121569139287,0.973772510010378
Orthogonal Matching Pursuit,36.79594770265227,2430.978535201953,49.304954469119565,0.9737365788320035
Multi-layer Perceptron,37.7875838409065,2609.1108073335336,51.079455824563496,0.9718121015818515
Huber Regressor,37.897882360283894,2644.0026793588936,51.41986658246882,0.9714351422969083
AdaBoost,39.32908421890295,2388.2062804570437,48.869277470175916,0.9741986749486099
Support Vector Regressor,39.981383472772855,3008.7424494194242,54.85200497173667,0.9674946244934378
Passive Aggressive Regressor,44.87817157756025,3855.080350497369,62.08929336445511,0.9583510930205852
Gamma Regressor,73.9342039521722,263931.98724991805,513.7431140656953,-1.851426633544932
Poisson Regressor,263.03281075408216,92577.43896914468,304.265408762062,-0.00017348367872616066
Gaussian Process,567.5223174518583,419274.5008129489,647.5140931384806,-3.5296914968182582
